,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Children,Family_size,Is_Parent,Customer_For,Amount Spent,Cluster,PC_Clusters
57,2,0,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,71,1,2,1,656,884,2,0
58,3,0,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,72,1,2,1,395,606,0,0
59,2,1,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,75,0,2,0,542,1076,1,1
60,2,1,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,52,1,3,1,564,34,0,2
61,2,1,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,56,2,4,1,31,11,0,2
62,1,0,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,44,1,2,1,262,1274,2,0
63,2,1,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,65,1,3,1,435,653,2,0
64,2,1,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,53,3,5,1,489,1562,2,0
65,3,1,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,69,0,2,0,757,1253,1,1
66,2,1,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,64,1,3,1,629,863,2,0
67,3,1,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,48,2,4,1,581,661,2,0
68,2,1,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,71,0,2,0,220,65,0,2
69,2,0,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,46,1,2,1,717,13,0,2
70,3,1,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,51,0,2,0,831,1890,1,1
71,2,0,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,47,0,1,0,726,2209,1,1
72,1,1,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,47,0,2,0,606,18,0,2
73,2,1,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,58,0,2,0,673,692,1,0
74,2,0,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,38,1,2,1,829,165,0,2
75,2,1,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,54,1,3,1,531,16,0,2
76,1,1,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,50,1,3,1,639,79,0,2
77,3,1,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,60,0,2,0,396,318,0,1
78,2,0,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,36,0,1,0,284,778,1,1
79,2,1,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,63,2,4,1,393,56,0,2
80,3,1,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,53,2,4,1,508,151,0,0
81,2,0,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,66,1,2,1,192,372,0,2
82,2,1,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,50,0,2,0,1,1366,1,1
83,2,1,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,56,1,3,1,319,194,0,2
84,3,0,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,51,1,2,1,258,32,0,2
85,3,1,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,53,1,3,1,196,43,0,2
86,2,1,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,40,1,3,1,198,45,0,2
87,2,0,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,63,1,2,1,744,606,2,0
88,2,0,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,51,2,3,1,397,63,0,2
89,1,1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,72,0,2,0,693,978,1,1
90,3,1,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,40,0,2,0,534,410,0,2
91,1,0,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,63,1,2,1,501,72,0,2
92,3,0,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,64,1,2,1,251,55,0,2
93,2,1,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,44,1,3,1,595,1169,2,0
94,3,1,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,78,0,2,0,568,1120,1,1
95,2,1,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,64,0,2,0,123,1097,1,1
96,1,1,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,44,1,3,1,420,29,0,2
97,2,1,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,59,2,4,1,438,187,0,0
98,2,1,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,54,2,4,1,672,910,2,0
99,2,0,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,45,1,2,1,717,145,0,2
100,3,1,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,63,0,2,0,877,850,1,1
101,2,1,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,44,1,3,1,663,969,2,0
102,3,0,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,32,0,1,0,786,1820,1,1
103,3,1,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,60,1,3,1,164,608,2,0
104,2,0,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,32,0,1,0,673,730,1,1
105,3,1,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,43,1,3,1,724,551,2,0
106,2,0,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,61,2,3,1,423,114,0,2
107,2,1,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,53,0,2,0,316,1724,1,1
108,1,1,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,45,1,3,1,655,577,2,0
109,1,1,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,56,2,4,1,394,81,0,2
110,2,1,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,54,1,3,1,387,33,0,2
111,3,1,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,70,1,3,1,534,660,2,0
112,3,0,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,56,1,2,1,285,80,0,2
113,3,1,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,38,2,4,1,606,30,0,2
114,2,0,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,47,1,2,1,593,43,0,2
115,2,0,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,40,0,1,0,368,1135,1,1
116,1,1,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,58,0,2,0,656,559,1,1
117,2,0,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,39,0,1,0,594,1923,1,1
118,3,1,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,70,2,4,1,122,90,0,2
119,3,1,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,67,2,4,1,62,661,2,0
120,2,1,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,71,1,3,1,432,463,2,0
121,3,0,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,65,2,3,1,429,632,2,0
122,2,1,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,54,0,2,0,65,725,1,1
123,3,1,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,59,2,4,1,479,279,0,0
124,3,1,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,56,0,2,0,629,1482,1,1
125,1,0,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,47,1,2,1,850,29,0,2
126,3,1,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,64,3,5,1,517,106,0,2
127,3,0,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,50,2,3,1,201,49,0,2
128,3,0,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,58,2,3,1,496,38,0,2
129,3,0,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,31,0,1,0,778,2077,1,1
130,3,1,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,47,1,3,1,387,1053,2,0
131,2,1,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,61,0,2,0,596,1385,1,1
132,3,0,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,49,1,2,1,465,871,2,0
133,2,1,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,35,1,3,1,627,312,0,0
134,2,1,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,47,2,4,1,779,877,2,0
135,2,1,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,48,1,3,1,769,68,0,2
136,2,1,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,42,1,3,1,465,22,0,2
137,1,1,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,50,3,5,1,836,211,0,0
138,3,1,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,57,0,2,0,168,127,1,2
139,3,1,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,70,2,4,1,226,459,2,0
140,2,1,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,54,1,3,1,156,460,0,2
141,1,1,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,51,1,3,1,722,429,2,0
142,2,0,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,35,1,2,1,1,89,0,2
143,3,1,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,71,1,3,1,817,1021,2,0
144,2,1,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,74,0,2,0,655,1381,1,1
145,2,0,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,65,1,2,1,486,306,0,0
146,2,0,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,45,3,4,1,362,18,0,2
147,2,1,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,46,1,3,1,415,162,0,2
148,2,0,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,68,0,1,0,473,1231,1,1
149,3,0,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,65,3,4,1,698,13,0,2
150,3,1,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,78,0,2,0,939,1706,1,0
151,2,1,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,39,1,3,1,219,121,0,2
152,3,0,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,48,0,1,0,700,1293,1,1
154,2,1,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,57,3,5,1,388,88,0,2
155,2,0,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,70,0,1,0,383,421,0,1
156,2,0,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,64,0,1,0,465,259,0,2
157,2,0,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,35,0,1,0,663,1117,1,1
158,2,1,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,66,2,4,1,284,89,0,2
159,2,1,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,58,2,4,1,229,36,0,2
160,2,1,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,41,1,3,1,511,57,0,2
161,2,1,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,53,2,4,1,229,148,0,2
162,3,1,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,64,2,4,1,310,93,0,2
163,2,0,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,56,1,2,1,246,119,0,2
164,3,1,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,48,1,3,1,727,1835,2,0
165,3,1,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,75,0,2,0,720,1318,1,1
166,3,1,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,53,2,4,1,197,45,0,2
167,2,1,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,64,3,5,1,165,10,0,2
168,1,1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,72,0,2,0,693,978,1,1
169,3,1,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,47,1,3,1,31,191,0,2
170,1,1,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,35,1,3,1,62,57,0,2
171,3,1,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,77,0,2,0,434,1033,1,1
172,3,1,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,39,1,3,1,318,66,0,2
173,1,1,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,62,0,2,0,174,43,0,2
174,2,1,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,40,1,3,1,938,50,0,2
175,3,0,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,53,1,2,1,125,39,0,2
176,2,1,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,57,1,3,1,666,608,2,0
177,2,1,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,47,0,2,0,627,1581,1,1
178,3,1,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,59,2,4,1,651,68,0,2
179,1,1,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,45,1,3,1,818,80,0,2
180,3,1,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,34,0,2,0,568,1282,1,1
181,1,0,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,1,123,1,2,1,436,65,0,2
182,2,1,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,35,1,3,1,555,91,0,2
183,2,1,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,50,2,4,1,656,315,0,0
184,2,1,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,46,2,4,1,342,31,0,2
185,3,1,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,43,0,2,0,207,834,1,1
186,2,1,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,69,0,2,0,443,1600,1,1
187,2,1,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,69,0,2,0,688,1270,1,1
188,3,0,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,50,2,3,1,250,263,2,0
189,2,0,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,71,1,2,1,160,535,0,0
190,2,0,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,55,0,1,0,450,1295,1,1
191,2,0,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,45,1,2,1,418,1150,2,0
192,3,1,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,46,0,2,0,1029,1240,1,1
193,3,0,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,58,2,3,1,507,38,0,2
194,3,0,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,39,0,1,0,786,35,0,2
195,2,1,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,35,1,3,1,481,53,0,2
196,3,0,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,60,2,3,1,572,293,2,0
197,2,1,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,57,1,3,1,122,65,0,2
198,2,0,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,69,1,2,1,788,1804,2,0
199,2,1,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,67,1,3,1,615,241,2,0
200,2,1,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,69,0,2,0,263,1101,1,1
201,3,1,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,55,2,4,1,940,264,0,0
202,3,1,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,49,2,4,1,684,541,2,0
203,2,1,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,38,0,2,0,610,1198,1,1
204,2,1,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,46,1,3,1,336,482,2,0
205,1,0,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,45,3,4,1,1,17,0,2
206,3,1,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,75,0,2,0,386,1615,1,1
207,3,0,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,69,1,2,1,462,285,0,2
208,2,1,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,43,1,3,1,752,1135,2,0
209,1,1,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,35,1,3,1,32,114,0,2
210,2,1,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,54,0,2,0,387,1047,1,1
211,3,1,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,53,2,4,1,236,714,2,0
212,3,1,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,43,1,3,1,584,185,0,0
213,2,0,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,61,1,2,1,849,1245,2,0
214,2,1,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,45,1,3,1,620,189,0,0
215,2,1,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,47,1,3,1,772,576,2,0
216,2,0,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,71,1,2,1,815,1103,2,0
217,3,1,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,51,0,2,0,850,1753,1,1
218,3,1,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,37,1,3,1,293,17,0,2
219,2,0,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,57,2,3,1,626,433,2,0
220,1,0,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,61,1,2,1,584,1588,1,1
221,2,1,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,52,1,3,1,570,22,0,2
222,2,0,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,72,0,1,0,234,19,0,2
223,3,1,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,58,1,3,1,623,1117,2,0
224,1,1,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,48,1,3,1,450,69,0,2
225,3,1,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,41,1,3,1,603,23,0,2
226,3,0,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,65,1,2,1,605,605,2,0
227,2,0,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,50,1,2,1,345,57,0,2
228,1,0,60182.0,23,8,0,5,7,0,2,1,1,0,2,4,0,130,1,2,1,203,22,0,2
229,2,0,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,55,0,1,0,404,2088,1,1
230,2,1,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,65,1,3,1,713,1009,2,0
231,2,0,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,52,1,2,1,493,26,0,2
232,2,1,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,33,0,2,0,373,1627,1,1
233,2,1,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,65,1,3,1,841,1102,2,0
234,3,1,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,59,2,4,1,214,17,0,2
235,2,1,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,0,51,1,3,1,565,1690,2,0
236,2,1,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,70,1,3,1,461,1390,2,0
237,3,1,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,0,35,0,2,0,827,2126,1,1
238,3,1,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,0,54,1,3,1,768,1531,2,0
239,3,0,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,0,48,1,2,1,446,64,0,2
240,2,0,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,0,38,1,2,1,405,26,0,2
241,2,0,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,49,0,1,0,581,1112,1,1
242,1,1,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,65,0,2,0,805,210,0,2
243,2,1,75702.0,77,650,28,353,45,42,30,5,4,6,11,8,0,56,2,4,1,829,1148,2,0
244,3,0,30899.0,35,24,0,8,0,0,1,2,1,0,3,6,0,49,1,2,1,784,33,0,2
245,3,1,63342.0,48,918,21,118,13,10,21,3,8,3,5,6,0,62,1,3,1,781,1101,2,0
246,2,0,45989.0,97,138,33,87,28,24,12,4,3,2,7,3,0,59,1,2,1,775,322,0,0
247,2,0,18701.0,95,12,4,2,10,6,10,4,2,0,4,5,0,59,2,3,1,609,44,0,2
248,3,0,40737.0,24,11,0,4,0,0,2,1,1,0,2,8,0,66,3,4,1,481,17,0,2
249,2,0,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,0,44,1,2,1,787,31,0,2
250,3,0,69674.0,46,554,41,215,11,0,24,3,10,2,10,5,0,55,2,3,1,563,845,2,0
251,3,1,44159.0,85,167,2,62,24,13,7,4,4,1,6,5,0,53,1,3,1,172,275,0,2
252,3,1,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,45,1,3,1,743,25,0,2
253,3,1,43776.0,9,177,2,71,3,2,20,6,5,2,4,8,0,71,2,4,1,644,275,0,0
254,3,1,38179.0,30,38,4,22,4,2,20,4,3,1,3,7,0,57,2,4,1,632,90,0,0
255,2,1,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,0,60,0,2,0,163,1495,1,1
256,3,1,38097.0,70,77,2,35,0,1,69,4,3,2,2,7,0,53,2,4,1,782,184,0,0
